project_id,spatial_unit,spatial_location,lat,lon,nr_fields,nr_farmers,man_mean_date,man_sd_date,nr_fields_irrigated,nr_fields_weeded,nr_fields_tilled,nr_fields_sowed,nr_fields_harvested,nr_fields_urea,nr_fields_dap,nr_fields_potash,nr_fields_zinc,nr_fields_fungicide,nr_fields_herbicide,nr_fields_pesticide,mean_urea_kg_acre,sd_urea_kg_acre,mean_dap_kg_acre,sd_dap_kg_acre,mean_potash_kg_acre,sd_potash_kg_acre,mean_zinc_kg_acre,sd_zinc_kg_acre,mean_fungicide_kg_acre,sd_fungicide_kg_acre,mean_herbicide_kg_acre,sd_herbicide_kg_acre,dam_mean_date,dam_sd_date,nr_fields_dam_rain,nr_fields_dam_hail,nr_fields_dam_high_temp,nr_fields_dam_low_temp,nr_fields_dam_pest,nr_fields_dam_lodging,nr_fields_dam_wildlife,nr_fields_dam_fire,nr_fields_dam_unclassified,mean_qa,mean_spread,mean_nr_values,total_nr_values,mean_duration,mean_sowing_date,sd_sowing_date,rising,falling,rising_lower_ci,rising_upper_ci,falling_lower_ci,falling_upper_ci
1,sedac,35617,30.613256531669,76.2743452981148,3,2,2016-12-02,18.2110641408693,0,0,0,2,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0,0,0,7,12.359477124183,8,24,21.6666666666667,NA,NA,2017-01-06,2017-02-06,2017-01-11,2016-12-26,2017-01-27,2017-02-10
1,sedac,35655,30.609138265041,76.1259050469893,13,12,2017-01-22,39.9317382998813,10,0,4,7,2,10,6,5,4,1,4,3,93.1627906976744,40.7865615693596,92.5,58.5153880010326,91.1764705882353,63.4465202406004,104.098360655738,57.2240348449358,75,106.066017177982,79.2631578947368,37.141873902544,2017-01-22,33.9448015809078,4,1,0,1,0,4,2,0,1,16.75,16.0079891924967,16.4615384615385,214,80.6153846153846,NA,NA,2016-12-12,2017-02-27,2016-12-14,2016-12-10,2017-02-21,2017-03-04
1,sedac,35759,30.5925853656972,76.1367705256465,1,1,2017-01-14,NA,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-01-20,9.19238815542512,1,0,0,0,1,0,0,0,1,29,2.89655172413793,30,30,84,NA,NA,2016-12-05,2017-01-23,2016-12-07,2016-12-02,2016-12-20,2017-01-25
1,sedac,36159,30.5362738933305,76.4668376877752,2,2,2017-01-09,53.7053690674095,2,1,0,1,0,1,1,1,1,1,1,1,25,0,0,NA,0,NA,0,NA,0,0,0,NA,2017-02-24,49.9599839871872,1,1,0,0,0,1,1,0,0,27.5,9.70772946859903,28.5,57,148.5,NA,NA,2016-12-13,2017-03-12,2016-12-16,2016-12-09,2017-03-06,2017-03-17
1,sedac,36251,30.5275546971236,76.4855617900235,2,2,2017-04-06,NA,0,0,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-02-16,12.0208152801713,1,0,0,1,0,0,0,0,0,10,8.5,6,12,42.5,NA,NA,2017-01-12,2017-01-16,2017-01-13,2017-01-11,2017-01-15,2017-01-17
1,sedac,36277,30.5222883884773,76.4649069801494,9,9,2017-01-11,49.9272067516897,6,0,0,5,1,4,4,0,0,2,2,2,34.8333333333333,21.5694789979365,0,0,NA,NA,NA,NA,0,0,25,35.3553390593274,2017-03-28,12.0208152801713,1,1,0,0,0,1,0,0,0,26.4444444444444,12.2732003326507,27.4444444444444,247,113.222222222222,NA,NA,2016-12-26,2017-03-03,2016-12-29,2016-12-22,2017-02-27,2017-03-06
1,sedac,36280,30.5226909522136,76.446981087241,1,1,2017-02-08,81.317279836453,1,0,0,1,0,1,0,0,0,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,26,5.30769230769231,27,27,138,NA,NA,2016-12-17,2017-01-07,2016-12-19,2016-12-15,2017-01-03,2017-02-12
1,sedac,36285,30.514435678114,76.4838683518669,13,10,2017-01-31,40.1514612533013,8,1,0,8,0,8,0,0,0,1,2,1,143.584905660377,70.961645643226,NA,NA,NA,NA,NA,NA,0,NA,6.66666666666667,25.8198889747161,2017-01-21,50.6392469664916,1,0,0,0,1,0,0,0,1,29.2,2.65694655150769,23.6923076923077,308,75.6923076923077,NA,NA,2016-12-17,2017-02-25,2016-12-19,2016-12-15,2017-02-22,2017-03-01
1,sedac,37091,30.373467028429,76.3425871891006,3,3,2017-02-12,46.6128352522823,2,0,0,2,0,2,0,0,0,1,0,1,43.75,12.5,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,14,6.81737373737372,15,45,88.6666666666667,NA,NA,2016-12-02,2016-12-24,2016-12-04,2016-11-30,2016-12-20,2016-12-27
1,sedac,37107,30.3774419193205,76.299337441099,1,1,2016-12-01,2.12132034355964,1,0,0,0,0,1,0,0,0,0,0,0,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,11,14.2727272727273,12,12,157,NA,NA,2016-12-21,2017-02-08,2016-12-23,2016-12-19,2017-02-03,2017-02-11
